event,eventLabel,date,start_date,end_date,countryLabel,locationLabel,participantLabel,biggerWarInstanceLabel,smallerWarInstanceLabel,casualties,isReligious,isCivil
http://www.wikidata.org/entity/Q220602,Soviet–Japanese War,,1945-08-09T00:00:00Z,1945-09-02T00:00:00Z,,Manchuria,"Soviet Union, Mongolian People's Republic, Empire of Japan",World War II,"Soviet invasion of Manchuria, proposed Soviet invasion of Hokkaido, Invasion of the Kuril Islands, Invasion of South Sakhalin",,no,no
http://www.wikidata.org/entity/Q223085,the hundred hour war,1969-07-18T00:00:00Z,1967-07-14T00:00:00Z,1969-07-18T00:00:00Z,,"Honduras, El Salvador","Honduras, El Salvador",,,,no,no
http://www.wikidata.org/entity/Q223126,Chaco War,1932-09-09T00:00:00Z,1932-09-09T00:00:00Z,1935-06-12T00:00:00Z,Bolivia,Gran Chaco,"Paraguay, Bolivia",interwar period,"First Battle of Alihuatá, Battle of Boquerón, Campo Vía pocket, Battle of Cañada Strongest, Second Battle of Nanawa, First Battle of Nanawa, Battle of Campo Grande, Battle of Toledo, Battle of Campo Jordán, Battle of Gondra",,no,no
http://www.wikidata.org/entity/Q223604,Greco-Italian War,1941-04-23T00:00:00Z,1940-10-28T00:00:00Z,1941-04-23T00:00:00Z,,"Albania, Greece, Kingdom of Yugoslavia","Wilhelm List, Ugo Cavallero",Balkans Campaign,"Capture of Klisura Pass, Battle of Himara, Battle of Saranda, Battle of Elaia–Kalamas, Battle of Korytsa, Italian Spring Offensive, Battle of Trebeshina, Battle of Morava–Ivan, Battle of Pindus",,no,no
http://www.wikidata.org/entity/Q228911,Anglo-Zulu War,1879-07-04T00:00:00Z,1879-01-11T00:00:00Z,1879-07-04T00:00:00Z,,South Africa,"British Empire, Zulu Kingdom",,"Battle of Ulundi, Siege of Eshowe, Battle of Kambula, Battle of Intombe, Battle of Hlobane, Battle of Gingindlovu, Battle of Rorke's Drift, Battle of Isandlwana",,no,no
http://www.wikidata.org/entity/Q233500,Second Anglo-Burmese War,1852-04-05T00:00:00Z,1852-04-05T00:00:00Z,1852-12-20T00:00:00Z,,Lower Burma,"Konbaung dynasty, British Empire",Anglo-Burmese wars,,,no,no
http://www.wikidata.org/entity/Q233507,Second Anglo-Afghan War,1878-01-01T00:00:00Z,1878-01-01T00:00:00Z,1880-01-01T00:00:00Z,,"Afghanistan, Emirate of Afghanistan","British Empire, Emirate of Afghanistan",Anglo-Afghan Wars,"Battle of Ahmed Khel, Battle of Peiwar Kotal, Battle of Maiwand, Battle of Charasiab, Second Battle of Charasiab, Battle of Ali Masjid, Siege of the Sherpur Cantonment, Siege of the British Residency in Kabul, Battle of Kam Dakka, Battle of Kandahar",,no,no
http://www.wikidata.org/entity/Q233509,Second Bremish-Swedish War,,1666-01-01T00:00:00Z,1666-01-01T00:00:00Z,,,,,,,no,no
http://www.wikidata.org/entity/Q233538,Second Danish-Hanseatic War,,1361-08-01T00:00:00Z,1370-05-01T00:00:00Z,,,"Denmark, Hanseatic League",,,,no,no
http://www.wikidata.org/entity/Q233553,Second Sacred War,,-0448-01-01T00:00:00Z,-0447-01-01T00:00:00Z,,Ancient Greece,"Delphi, Classical Athens, Sparta, Phocis",Sacred Wars,,,no,no
http://www.wikidata.org/entity/Q233559,Second Hundred Years' War,1689-01-01T00:00:00Z,2023-01-01T00:00:00Z,2025-01-01T00:00:00Z,,Europe,"First French Empire, Kingdom of France, United Kingdom of Great Britain and Ireland, French First Republic, British Empire, Kingdom of England, France, Kingdom of Great Britain",,,,no,no
http://www.wikidata.org/entity/Q233583,Indo-Pakistani War of 1965,1965-09-23T00:00:00Z,1965-08-01T00:00:00Z,1965-09-23T00:00:00Z,,Kashmir,"Pakistan, India",,"Battle of Asal Uttar, Operation Dwarka, Rajasthan Front, Battle of Phillora, Lahore Front, Indo-Pakistani Air War of 1965, Battle of Chawinda, Battle of Burki, Operation Gibraltar",,no,no
http://www.wikidata.org/entity/Q233594,Second War of Kappel,1531-10-11T00:00:00Z,,,,Switzerland,,Wars of Kappel,Battle of Kappel,,no,no
