War URI,War Label
http://www.wikidata.org/entity/Q611027,Castellammarese War
http://www.wikidata.org/entity/Q611071,Chadian–Libyan war
http://www.wikidata.org/entity/Q616846,Anglo-Spanish War
http://www.wikidata.org/entity/Q616939,Anglo-Egyptian War
http://www.wikidata.org/entity/Q617070,First Anglo-Mysore War
http://www.wikidata.org/entity/Q617210,Third Anglo-Maratha War
http://www.wikidata.org/entity/Q617281,Danzig rebellion
http://www.wikidata.org/entity/Q617321,Anglo-Mysore Wars
http://www.wikidata.org/entity/Q617333,Franco-Spanish War (1635–1659)
http://www.wikidata.org/entity/Q617350,Third Anglo-Mysore War
http://www.wikidata.org/entity/Q617409,Argentine War of Independence
http://www.wikidata.org/entity/Q617772,Anglo-Persian War
http://www.wikidata.org/entity/Q617782,Fourth Anglo-Mysore War
http://www.wikidata.org/entity/Q617827,Apache Wars
http://www.wikidata.org/entity/Q618066,First Servile War
http://www.wikidata.org/entity/Q620735,Russo-Georgian War
http://www.wikidata.org/entity/Q623164,Five Days of Milan
http://www.wikidata.org/entity/Q623171,Sino-Vietnamese War
http://www.wikidata.org/entity/Q630259,Byzantine–Ottoman Wars
http://www.wikidata.org/entity/Q631163,Deluge
http://www.wikidata.org/entity/Q631799,Russo-Turkish War (1568–1570)
http://www.wikidata.org/entity/Q631991,Russo-Polish War
http://www.wikidata.org/entity/Q632787,Insurgency in the Maghreb (2002–)
http://www.wikidata.org/entity/Q635020,Third Carnatic War
http://www.wikidata.org/entity/Q635533,Cambodian–Vietnamese War
http://www.wikidata.org/entity/Q636365,War of the League of Cambrai
http://www.wikidata.org/entity/Q638587,Russo-Turkish War (1736–1739)
http://www.wikidata.org/entity/Q638850,Smyrniote crusades
http://www.wikidata.org/entity/Q641185,Siamese–Vietnamese War of 1841–1845
http://www.wikidata.org/entity/Q643925,War of Dagestan
http://www.wikidata.org/entity/Q643987,Perusine War
http://www.wikidata.org/entity/Q644589,Toyota War
http://www.wikidata.org/entity/Q651008,Corinthian War
http://www.wikidata.org/entity/Q651277,Rappenkrieg
http://www.wikidata.org/entity/Q652284,1982 Ethiopian–Somali Border War
http://www.wikidata.org/entity/Q652285,Indo-Pakistani War of 1947
http://www.wikidata.org/entity/Q653706,Syro-Ephraimite War
http://www.wikidata.org/entity/Q655480,Quasi-War
http://www.wikidata.org/entity/Q656186,Fronde
http://www.wikidata.org/entity/Q657055,Greco-Turkish War (1897)
http://www.wikidata.org/entity/Q657967,Second Barons' War
http://www.wikidata.org/entity/Q670984,Rappenkrieg
http://www.wikidata.org/entity/Q676068,War of Saint-Sardos
http://www.wikidata.org/entity/Q677316,Social War
http://www.wikidata.org/entity/Q679589,First War of Kappel
http://www.wikidata.org/entity/Q681416,French and Indian Wars
http://www.wikidata.org/entity/Q682482,Russo-Swedish War of 1741-1743
http://www.wikidata.org/entity/Q685683,First Schleswig War
http://www.wikidata.org/entity/Q686564,Serbian-Ottoman War
http://www.wikidata.org/entity/Q686731,Fraser Canyon War
http://www.wikidata.org/entity/Q688308,Swedish War of Liberation
http://www.wikidata.org/entity/Q690361,Long War
http://www.wikidata.org/entity/Q692412,trade war
http://www.wikidata.org/entity/Q692606,War between Switzerland and the House of Habsburg
http://www.wikidata.org/entity/Q694835,Seventh Ottoman–Venetian War
